ID,Created_At,Symbol,Timeframe,Strategy,Layer,Lots,Direction,Entry,SL,TP1,RR,Status
FIB_RETR_5M_L2_4321_1789081800,"2026-09-11T04:20:38.112282+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4325.5,4323.42,4326.43,0.45,FILLED
FIB_RETR_5M_L1_4321_1789081800,"2026-09-11T04:20:29.962210+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4326.43,4323.42,4329.4349999999995,1,FILLED
SMC_FIB_5M_4344_1789088400,"2026-09-11T03:20:19.977809+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4336.39,4342.43,4319.255,2.84,PENDING
SMC_FIB_15M_4395_1789039800,"2026-09-11T03:17:34.156362+00:00",XAUUSD,15m,SMC_WITH_FIB,Single_0.680,0.27,SHORT,4370.87,4389.26,4318.76,2.83,PENDING
FIB_RETR_5M_L3_4330_1789095000,"2026-09-11T03:10:40.731109+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4326.65,4328.21,4324.15,1.6,AI_REJECTED
FIB_RETR_5M_L2_4330_1789095000,"2026-09-11T03:10:35.883904+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4325.4,4328.21,4324.15,0.44,TP_HIT
FIB_RETR_5M_L1_4330_1789095000,"2026-09-11T03:10:28.692119+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4324.15,4328.21,4320.085,1,TP_HIT
SMC_FIB_5M_4387_1788922200,"2026-09-11T02:39:05.978651+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.31,SHORT,4366.29,4382.27,4320.995,2.83,CANCELLED
FIB_RETR_30M_L3_4319_1789066800,"2026-09-11T02:00:38.489392+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4328.96,4325.31,4334.88,1.62,TP_HIT
FIB_RETR_30M_L2_4319_1789066800,"2026-09-11T02:00:37.970615+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4331.92,4325.31,4334.88,0.45,TP_HIT
FIB_RETR_30M_L1_4319_1789066800,"2026-09-11T02:00:31.709162+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4334.88,4325.31,4344.445,1,BREAKEVEN_HIT
FIB_RETR_15M_L3_4315_1789083900,"2026-09-11T01:30:22.397100+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4326.59,4322.37,4333.41,1.62,TP_HIT
FIB_RETR_15M_L2_4315_1789083900,"2026-09-11T01:30:22.009987+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4330,4322.37,4333.41,0.45,TP_HIT
FIB_RETR_5M_L3_4315_1789084500,"2026-09-11T01:25:30.143980+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4326.59,4322.37,4333.41,1.62,TP_HIT
FIB_RETR_5M_L2_4315_1789084500,"2026-09-11T01:25:24.270164+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4330,4322.37,4333.41,0.45,TP_HIT
FIB_RETR_15M_L1_4315_1789083900,"2026-09-11T01:15:32.806055+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.45,LONG,4333.41,4322.37,4344.445,1,BREAKEVEN_HIT
FIB_RETR_5M_L1_4315_1789084500,"2026-09-11T01:05:07.097243+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.45,LONG,4333.41,4322.37,4344.445,1,BREAKEVEN_HIT
SMC_FIB_5M_4315_1789084500,"2026-09-11T00:45:23.263460+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4320.98,4316.91,4332.495,2.83,CANCELLED
SMC_FIB_1H_4438_1789020000,"2026-09-11T00:15:30.730367+00:00",XAUUSD,1h,SMC_WITH_FIB,Single_0.680,0.17,SHORT,4399.35,4428.93,4315.555,2.83,PENDING
FIB_RETR_5M_L2_4324_1789081200,"2026-09-10T23:45:11.470324+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4322.21,4323.37,4321.69,0.45,TP_HIT
FIB_RETR_5M_L1_4324_1789081200,"2026-09-10T23:45:04.538663+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4321.69,4323.37,4320.015,1,TP_HIT
SMC_FIB_5M_4335_1789068300,"2026-09-10T23:40:09.203034+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4330.53,4334.25,4320.015,2.83,SL_HIT
FIB_RETR_5M_L2_4329_1789077600,"2026-09-10T23:05:07.388754+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4324.08,4327.13,4322.72,0.45,TP_HIT
FIB_RETR_5M_L1_4329_1789077600,"2026-09-10T22:50:28.064096+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4322.72,4327.13,4318.305,1,BREAKEVEN_HIT
SMC_FIB_5M_4365_1789062600,"2026-09-10T22:40:07.513661+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.47,SHORT,4350.89,4361.53,4320.745,2.83,CANCELLED
FIB_RETR_5M_L2_4335_1789068300,"2026-09-10T22:05:27.717355+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4328.24,4332.07,4326.54,0.44,TP_HIT
FIB_RETR_5M_L1_4335_1789068300,"2026-09-10T21:05:58.002585+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4326.54,4332.07,4321.005,1,BREAKEVEN_HIT
SMC_FIB_5M_4373_1789056000,"2026-09-10T20:25:03.747485+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.40,SHORT,4357.43,4369.83,4322.305,2.83,CANCELLED
SMC_FIB_30M_4438_1789020000,"2026-09-10T19:01:41.255777+00:00",XAUUSD,30m,SMC_WITH_FIB,Single_0.680,0.22,SHORT,4408.01,4431.1,4342.605,2.83,PENDING
SMC_FIB_5M_4380_1789050300,"2026-09-10T19:01:40.722226+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.46,SHORT,4365.75,4376.53,4335.195,2.83,CANCELLED
FIB_RETR_5M_L1_4369_1789057800,"2026-09-10T18:05:12.551351+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4359.57,4366,4353.139999999999,1,FILLED
FIB_RETR_5M_L3_4375_1789054500,"2026-09-10T16:35:16.980753+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4369.32,4371.86,4365.19,1.63,TP_HIT
FIB_RETR_5M_L2_4375_1789054500,"2026-09-10T16:30:08.031618+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4367.25,4371.86,4365.19,0.45,TP_HIT
FIB_RETR_5M_L1_4375_1789054500,"2026-09-10T16:20:14.675728+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4365.19,4371.86,4358.525,1,TP_HIT
FIB_RETR_15M_L1_4438_1789020000,"2026-09-10T14:00:41.462809+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.13,SHORT,4378.28,4415.68,4340.87,1,TP_HIT
FIB_RETR_30M_L1_4437_1788960600,"2026-09-10T13:21:47.486260+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.12,SHORT,4370.41,4411.9,4328.915,1,FILLED
FIB_RETR_15M_L1_4404_1789034400,"2026-09-10T12:30:42.960944+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.35,SHORT,4381.4,4395.74,4367.055,1,FILLED
FIB_RETR_5M_L1_4392_1789037700,"2026-09-10T12:16:12.538666+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4381.45,4388.33,4374.575,1,TP_HIT
SMC_FIB_5M_4419_1789026600,"2026-09-10T12:00:38.163481+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4406.29,4416.11,4378.4400000000005,2.84,CANCELLED
FIB_RETR_5M_L3_4380_1789037400,"2026-09-10T11:50:40.372779+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4386.36,4384.23,4389.81,1.62,FILLED
FIB_RETR_5M_L2_4380_1789037400,"2026-09-10T11:50:38.972184+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4388.09,4384.23,4389.81,0.45,FILLED
FIB_RETR_5M_L1_4380_1789037400,"2026-09-10T11:45:38.696666+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4389.81,4384.23,4395.385,1,FILLED
SMC_FIB_5M_4432_1789023000,"2026-09-10T10:55:35.820883+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.40,SHORT,4416.06,4428.51,4380.785,2.83,CANCELLED
FIB_RETR_5M_L1_4404_1789034700,"2026-09-10T10:45:36.963400+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4391.05,4399.43,4382.674999999999,1,TP_HIT
FIB_RETR_5M_L1_4419_1789026600,"2026-09-10T10:06:19.371307+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4403.41,4413.29,4393.525,1,TP_HIT
SMC_FIB_15M_4438_1789020000,"2026-09-10T09:36:34.465555+00:00",XAUUSD,15m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4425.44,4435.45,4397.08,2.83,CANCELLED
SMC_FIB_5M_4438_1789020000,"2026-09-10T09:36:33.957418+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.48,SHORT,4424.82,4435.3,4395.12,2.83,CANCELLED
FIB_RETR_15M_L2_4379_1788966900,"2026-09-10T07:45:10.211516+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L2_0.500,0.32,LONG,4409.13,4393.46,4416.13,0.45,TP_HIT
FIB_RETR_5M_L2_4380_1788928800,"2026-09-10T07:35:31.251291+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.32,LONG,4409.59,4394.17,4416.48,0.45,TP_HIT
FIB_RETR_30M_L2_4393_1788998400,"2026-09-10T06:45:48.535491+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L2_0.500,0.42,LONG,4416.14,4404.17,4421.48,0.45,TP_HIT
FIB_RETR_30M_L1_4393_1788998400,"2026-09-10T06:45:41.555421+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.29,LONG,4421.48,4404.17,4438.795,1,BREAKEVEN_HIT
FIB_RETR_15M_L1_4379_1788966900,"2026-09-10T06:30:19.750817+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.22,LONG,4416.13,4393.46,4438.795,1,BREAKEVEN_HIT
FIB_RETR_5M_L1_4380_1788928800,"2026-09-10T06:25:18.459233+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.22,LONG,4416.48,4394.17,4438.795,1,BREAKEVEN_HIT
SMC_FIB_5M_4395_1789000200,"2026-09-10T05:15:31.194876+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4404.01,4397.43,4422.675,2.84,CANCELLED
FIB_RETR_5M_L2_4424_1789009200,"2026-09-10T05:10:21.391348+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4417.27,4421.24,4415.5,0.45,FILLED
FIB_RETR_5M_L1_4424_1789009200,"2026-09-10T05:10:20.933758+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4415.5,4421.24,4409.755,1,FILLED
FIB_RETR_5M_L3_4422_1789005900,"2026-09-10T04:20:15.328082+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4418.33,4420.06,4415.54,1.61,TP_HIT
FIB_RETR_5M_L2_4422_1789005900,"2026-09-10T04:11:00.801384+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4416.94,4420.06,4415.54,0.45,TP_HIT
FIB_RETR_5M_L1_4422_1789005900,"2026-09-10T04:08:37.998894+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4415.54,4420.06,4411.02,1,FILLED
SMC_FIB_15M_4379_1788966900,"2026-09-10T02:55:39.719816+00:00",XAUUSD,15m,SMC_WITH_FIB,Single_0.680,0.46,LONG,4393.92,4383.08,4424.66,2.84,SL_HIT
SMC_FIB_5M_4393_1788998400,"2026-09-10T02:55:38.915182+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4403.46,4395.97,4424.66,2.83,CANCELLED
FIB_RETR_30M_L2_4399_1788984000,"2026-09-10T02:15:22.995835+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4410.74,4404.68,4413.46,0.45,FILLED
FIB_RETR_30M_L1_4399_1788984000,"2026-09-10T02:15:15.329617+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4413.46,4404.68,4422.235,1,TP_HIT
FIB_RETR_15M_L1_4393_1788998400,"2026-09-10T01:45:33.675834+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.46,LONG,4411.25,4400.27,4422.235,1,TP_HIT
FIB_RETR_5M_L1_4393_1788998400,"2026-09-10T00:55:02.944705+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4402.54,4396.94,4408.135,1,TP_HIT
FIB_RETR_5M_L3_4406_1788994800,"2026-09-10T00:20:13.481474+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4401.74,4403.68,4398.58,1.63,TP_HIT
FIB_RETR_5M_L2_4406_1788994800,"2026-09-10T00:15:38.224529+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4400.16,4403.68,4398.58,0.45,TP_HIT
FIB_RETR_5M_L1_4406_1788994800,"2026-09-10T00:15:30.409744+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4398.58,4403.68,4393.485,1,SL_HIT
FIB_RETR_5M_L1_4399_1788985200,"2026-09-09T21:57:30.650591+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4405.27,4401.55,4408.995,1,FILLED
FIB_RETR_5M_L1_4446_1788840300,"2026-09-09T17:10:13.655450+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.36,SHORT,4424.1,4437.97,4410.225,1,FILLED
FIB_RETR_15M_L2_4437_1788960600,"2026-09-09T16:00:34.129973+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L2_0.500,0.33,SHORT,4408.5,4423.83,4401.65,0.45,TP_HIT
FIB_RETR_30M_L3_4345_1788912000,"2026-09-09T15:45:17.452918+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L3_0.382,0.37,LONG,4380.76,4367.34,4402.44,1.62,TP_HIT
FIB_RETR_30M_L2_4345_1788912000,"2026-09-09T15:45:17.065692+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L2_0.500,0.21,LONG,4391.6,4367.34,4402.44,0.45,TP_HIT
FIB_RETR_30M_L1_4345_1788912000,"2026-09-09T15:45:16.542072+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.14,LONG,4402.44,4367.34,4437.54,1,FILLED
FIB_RETR_15M_L1_4437_1788960600,"2026-09-09T15:45:10.156202+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.23,SHORT,4401.65,4423.83,4379.46,1,BREAKEVEN_HIT
FIB_RETR_5M_L2_4430_1788964500,"2026-09-09T15:40:35.744452+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.41,SHORT,4407.53,4419.81,4402.05,0.45,TP_HIT
FIB_RETR_5M_L1_4430_1788964500,"2026-09-09T15:35:28.250826+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.28,SHORT,4402.05,4419.81,4384.28,1,BREAKEVEN_HIT
FIB_RETR_5M_L3_4437_1788960600,"2026-09-09T14:30:35.271640+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4428.56,4431.99,4423.01,1.62,FILLED
FIB_RETR_5M_L2_4437_1788960600,"2026-09-09T14:30:34.731167+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4425.78,4431.99,4423.01,0.45,FILLED
FIB_RETR_5M_L1_4437_1788960600,"2026-09-09T14:30:33.941348+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4423.01,4431.99,4414.035,1,FILLED
SMC_FIB_5M_4432_1788962700,"2026-09-09T14:25:44.850132+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4426.25,4430.57,4414.035,2.83,TP_HIT
SMC_FIB_5M_4395_1788957600,"2026-09-09T13:25:02.488916+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4406.69,4398.08,4431.0650000000005,2.83,CANCELLED
SMC_FIB_5M_4419_1788954600,"2026-09-09T12:35:24.001302+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4411.96,4417.49,4396.285,2.83,SL_HIT
FIB_RETR_5M_L3_4390_1788948000,"2026-09-09T12:30:56.097293+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4401.29,4397.03,4408.18,1.62,FILLED
FIB_RETR_5M_L2_4390_1788948000,"2026-09-09T12:10:11.626275+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4404.74,4397.03,4408.18,0.45,FILLED
FIB_RETR_5M_L1_4390_1788948000,"2026-09-09T12:05:14.620791+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.45,LONG,4408.18,4397.03,4419.335,1,SL_HIT
SMC_FIB_5M_4390_1788948000,"2026-09-09T11:05:27.053330+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4395.58,4391.5,4407.145,2.83,SL_HIT
FIB_RETR_5M_L3_4415_1788939900,"2026-09-09T11:00:32.643263+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4405.94,4409.67,4399.9,1.62,FILLED
FIB_RETR_5M_L2_4415_1788939900,"2026-09-09T10:50:02.588173+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4402.92,4409.67,4399.9,0.45,FILLED
FIB_RETR_5M_L1_4415_1788939900,"2026-09-09T10:35:24.054256+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4399.9,4409.67,4390.14,1,FILLED
SMC_FIB_5M_4406_1788944100,"2026-09-09T10:28:17.419241+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4401.25,4405.17,4390.14,2.83,SL_HIT
FIB_RETR_5M_L2_4406_1788944100,"2026-09-09T10:20:58.708459+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4398.31,4402.62,4396.38,0.45,FILLED
FIB_RETR_5M_L1_4406_1788944100,"2026-09-09T10:10:56.533179+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4396.38,4402.62,4390.145,1,SL_HIT
FIB_RETR_15M_L2_4371_1788921000,"2026-09-09T10:00:29.814919+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L2_0.500,0.42,LONG,4393.4,4381.62,4398.66,0.45,TP_HIT
FIB_RETR_15M_L1_4371_1788921000,"2026-09-09T10:00:28.583157+00:00",XAUUSD,15m,FIB_WITH_RETRACEMENT,L1_0.618,0.29,LONG,4398.66,4381.62,4415.7,1,FILLED
SMC_FIB_5M_4407_1788942600,"2026-09-09T09:15:28.149055+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4405.32,4406.67,4401.475,2.85,CANCELLED
SMC_FIB_1H_4345_1788912000,"2026-09-09T08:15:58.900610+00:00",XAUUSD,1h,SMC_WITH_FIB,Single_0.680,0.30,LONG,4368.07,4351.26,4415.695,2.83,CANCELLED
FIB_RETR_5M_L2_4398_1788935100,"2026-09-09T08:15:53.161086+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4407.21,4402.73,4409.21,0.45,FILLED
FIB_RETR_5M_L1_4398_1788935100,"2026-09-09T08:15:43.079191+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4409.21,4402.73,4415.695,1,SL_HIT
SMC_FIB_30M_4345_1788912000,"2026-09-09T07:15:34.826355+00:00",XAUUSD,30m,SMC_WITH_FIB,Single_0.680,0.33,LONG,4366.1,4350.77,4409.54,2.83,SL_HIT
SMC_FIB_15M_4371_1788921000,"2026-09-09T07:15:34.380495+00:00",XAUUSD,15m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4383.87,4374.29,4411.035,2.84,CANCELLED
SMC_FIB_5M_4443_1788843300,"2026-09-09T07:15:33.829307+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4431.62,4440.26,4407.125,2.84,TP_HIT
SMC_FIB_1H_4417_1788872400,"2026-09-09T06:15:11.018819+00:00",XAUUSD,1h,SMC_WITH_FIB,Single_0.680,0.29,SHORT,4394.35,4411.53,4345.66,2.83,SL_HIT
SMC_FIB_30M_4413_1788879600,"2026-09-09T06:00:22.273098+00:00",XAUUSD,30m,SMC_WITH_FIB,Single_0.680,0.31,SHORT,4391.58,4407.79,4345.66,2.83,SL_HIT
FIB_RETR_5M_L3_4387_1788922200,"2026-09-09T04:30:05.794782+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4382.5,4384.45,4379.35,1.62,SL_HIT
FIB_RETR_5M_L2_4387_1788922200,"2026-09-09T04:25:15.960186+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4380.93,4384.45,4379.35,0.45,SL_HIT
FIB_RETR_5M_L1_4387_1788922200,"2026-09-09T04:25:14.133495+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4379.35,4384.45,4374.255,1,SL_HIT
FIB_RETR_1H_L1_4446_1788840000,"2026-09-09T03:15:05.569497+00:00",XAUUSD,1h,FIB_WITH_RETRACEMENT,L1_0.618,0.13,SHORT,4384.2,4422.73,4345.66,1,SL_HIT
FIB_RETR_30M_L1_4446_1788840000,"2026-09-09T03:15:04.053502+00:00",XAUUSD,30m,FIB_WITH_RETRACEMENT,L1_0.618,0.13,SHORT,4384.2,4422.73,4345.66,1,SL_HIT
SMC_FIB_5M_4345_1788913500,"2026-09-09T02:50:26.224476+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4357.19,4348.54,4381.695,2.83,CANCELLED
FIB_RETR_5M_L3_4381_1788918000,"2026-09-09T02:45:14.374766+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,SHORT,4377.74,4379.3,4375.2,1.63,SL_HIT
FIB_RETR_5M_L2_4381_1788918000,"2026-09-09T02:45:13.099810+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,SHORT,4376.47,4379.3,4375.2,0.45,SL_HIT
FIB_RETR_5M_L1_4381_1788918000,"2026-09-09T02:45:11.556217+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,SHORT,4375.2,4379.3,4371.095,1,SL_HIT
SMC_FIB_5M_4351_1788900300,"2026-09-09T01:00:01.601114+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,LONG,4356.91,4352.57,4369.195,2.83,CANCELLED
SMC_FIB_15M_4417_1788872400,"2026-09-09T00:00:20.506503+00:00",XAUUSD,15m,SMC_WITH_FIB,Single_0.680,0.33,SHORT,4396.81,4412.15,4353.365,2.83,SL_HIT
SMC_FIB_5M_4365_1788901800,"2026-09-08T23:55:16.325556+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4362.45,4365.11,4354.905,2.84,SL_HIT
FIB_RETR_5M_L3_4354_1788907200,"2026-09-08T23:50:27.477371+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L3_0.382,0.50,LONG,4358.35,4357.05,4360.47,1.63,SL_HIT
FIB_RETR_5M_L2_4354_1788907200,"2026-09-08T23:50:25.946622+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L2_0.500,0.50,LONG,4359.41,4357.05,4360.47,0.45,SL_HIT
FIB_RETR_5M_L1_4354_1788907200,"2026-09-08T23:50:24.386676+00:00",XAUUSD,5m,FIB_WITH_RETRACEMENT,L1_0.618,0.50,LONG,4360.47,4357.05,4363.885,1,SL_HIT
SMC_FIB_5M_4390_1788893100,"2026-09-08T22:40:00.730250+00:00",XAUUSD,5m,SMC_WITH_FIB,Single_0.680,0.50,SHORT,4380.1,4388.26,4357.005,2.83,CANCELLED
